cell,intensity,gauss_score,sweep_count,baseline,wilcoxon_p,AUC
H21042101,0.0598,3,30,0.2249212775528564,0.0002308175547689,0.7708333333333334
H21042101,0.0762,3,46,12.654266658843314,6.5395251643571e-07,0.777882797731569
H21042101,0.0815,3,15,16.314289998500524,0.0234440611722936,0.6933333333333334
H21042101,0.107,3,15,14.215024741340528,0.0003935718566906,0.8955555555555555
H21042101,0.167,3,15,8.277103013945117,0.0004034938125205,0.9533333333333334
H21042301,0.014,0,17,0.0,0.0,0.5
H21042301,0.0296,3,15,0.0,0.158655253931457,0.75
H21042301,0.0598,3,30,0.0899685110211425,0.0040754857967513,0.85
H21042301,0.076,3,28,0.1058453070836971,0.0001842526091559,0.8823529411764706
H21042301,0.167,3,5,0.0,0.03125,1.0
H21042301,0.697,3,1,0.0,0.5,1.0
H21042303,0.0084,0,8,27.35640820927065,0.3358796415564349,0.5625
H21042303,0.0762,1,11,30.398381030044018,0.2640698683166966,0.5578512396694215
H21042303,0.346,3,7,24.55535353670891,0.0234375,0.8979591836734694
H21042304,0.0065,0,8,15.61546047996994,0.638495644714995,0.46875
H21042304,0.0084,0,7,26.70226969292389,0.5679605334778626,0.4897959183673469
H21042304,0.0762,3,4,26.769360822805616,0.0625,1.0
H21042304,0.346,3,4,20.19443009439722,0.0625,0.96875
H21050601,0.0007,1,15,17.658385384868264,0.1392287134327425,0.6177777777777778
H21050601,0.0065,3,15,13.838663723602432,0.0122420571177746,0.6977777777777778
H21050601,0.008,2,9,2.9221914348481755,0.2588170592916727,0.5864197530864198
H21050601,0.0143,3,15,8.766574304544529,0.1058559159706212,0.6355555555555554
H21050602,0.0065,1,15,17.97147732431629,0.1634762114848783,0.5666666666666667
H21050602,0.0296,3,15,12.836769517368776,0.0583597649809527,0.6133333333333334
H21050602,0.076,3,15,31.68490427213952,0.0130655477230469,0.7155555555555555
H21050603,0.008,3,13,1.0175488032060611,0.158655253931457,0.5520833333333334
H21050603,0.0762,3,7,0.0,0.0078125,1.0
H21050701,0.0065,2,15,5.009471031168302,0.3811448791831616,0.5133333333333333
H21050701,0.0143,3,15,11.396546595907886,0.1197496147452125,0.611111111111111
H21050701,0.0762,2,15,15.591978584511343,3.0517578125e-05,1.0
H21050701,0.167,1,3,27.86518261087368,0.125,1.0
H21051201,0.076,3,14,21.67043495179502,0.3513872765804101,0.5510204081632653
H21051201,0.107,0,11,13.57680501060954,0.2162305765460027,0.5991735537190083
H21051201,0.346,3,13,7.586458532778919,0.0902336512057536,0.6538461538461539
H21051202,0.076,1,15,0.3354556494085915,0.1497484318533095,0.5459183673469388
H21051202,0.107,1,15,0.7947718462911249,0.4654506175201888,0.5384615384615384
H21051202,0.346,3,15,0.117409477293007,0.0065491710938679,0.90625
H21051302,0.008,1,15,0.6261838788960378,0.0786496035251425,0.5833333333333334
