file_name,sweep,baseline,pre,post
E22010302_0007,8,7.163593380614658,0.0,1.0
E22010302_0008,0,3.581796690307329,0.0,3.0
E22010302_0008,1,3.581796690307329,0.0,0.0
E22010303_0002,0,0.0,0.0,2.0
E22010303_0003,0,0.0,0.0,0.0
E22010303_0003,1,0.0,0.0,0.0
E22010303_0003,2,5.372695035460993,0.0,0.0
E22010303_0003,3,26.863475177304966,3.0,4.0
E22010303_0003,4,39.39976359338061,5.0,5.0
E22010303_0005,0,0.0,0.0,0.0
E22010303_0005,1,0.0,0.0,0.0
E22010303_0005,2,0.0,0.0,0.0
E22010303_0006,0,8.954491725768321,2.0,0.0
E22010303_0006,1,30.445271867612295,4.0,3.0
E22010303_0006,2,25.072576832151302,3.0,0.0
E22010303_0006,3,0.0,0.0,0.0
E22010303_0007,0,5.372695035460993,1.0,0.0
E22010303_0007,1,23.281678486997638,3.0,5.0
E22010303_0007,2,26.863475177304966,3.0,5.0
E22010303_0007,3,35.817966903073284,4.0,5.0
E22010303_0008,0,53.72695035460993,8.0,5.0
E22010303_0008,1,50.145153664302605,5.0,5.0
E22010303_0008,2,28.65437352245863,3.0,6.0
E22010303_0008,3,21.49078014184397,5.0,4.0
E22010303_0009,0,0.0,0.0,1.0
E22010303_0009,1,0.0,0.0,4.0
E22010303_0009,2,0.0,0.0,2.0
E22010303_0009,3,0.0,0.0,1.0
E22010303_0009,4,0.0,0.0,2.0
E22010303_0009,5,0.0,0.0,8.0
E22010303_0010,0,1.7908983451536644,0.0,3.0
E22010303_0010,1,7.163593380614658,2.0,3.0
E22010303_0010,2,3.581796690307329,0.0,3.0
E22010402_0001,0,0.0,0.0,0.0
E22010402_0001,1,0.0,0.0,1.0
E22010402_0001,2,0.0,0.0,0.0
E22010402_0002,0,0.0,0.0,0.0
E22010402_0002,1,5.372695035460993,1.0,0.0
E22010402_0002,2,0.0,0.0,0.0
E22010402_0002,4,0.0,0.0,1.0
E22010402_0002,5,0.0,0.0,0.0
