file_name,cell,file_num,intensity
H21040803_0018.abf,H21040803,18,0.226
H21040803_0019.abf,H21040803,19,0.133
H21040803_0020.abf,H21040803,20,0.103
H21040803_0021.abf,H21040803,21,0.0114
H21040805_0006.abf,H21040805,6,0.467
H21040805_0007.abf,H21040805,7,0.113
H21040805_0009.abf,H21040805,9,0.113
H21040805_0010.abf,H21040805,10,0.103
H21040805_0012.abf,H21040805,12,0.0114
H21040805_0013.abf,H21040805,13,0.0114
H21042101_0007.abf,H21042101,7,0.0762
H21042101_0009.abf,H21042101,9,0.167
H21042101_0010.abf,H21042101,10,0.0815
H21042101_0011.abf,H21042101,11,0.0762
H21042101_0012.abf,H21042101,12,0.0143
H21042101_0013.abf,H21042101,13,0.0143
H21042101_0014.abf,H21042101,14,0.0084
H21042101_0015.abf,H21042101,15,0.0084
H21042101_0016.abf,H21042101,16,0.0762
H21042101_0017.abf,H21042101,17,0.107
H21042101_0018.abf,H21042101,18,0.0762
H21042101_0019.abf,H21042101,19,0.0084
H21042101_0021.abf,H21042101,21,0.0143
H21042101_0022.abf,H21042101,22,0.0598
H21042101_0023.abf,H21042101,23,0.0296
H21042101_0024.abf,H21042101,24,0.0762
H21042101_0025.abf,H21042101,25,0.0143
H21042101_0026.abf,H21042101,26,0.0296
H21042101_0027.abf,H21042101,27,0.0598
H21042101_0029.abf,H21042101,29,0.0296
H21042101_0030.abf,H21042101,30,0.0084
H21042101_0031.abf,H21042101,31,0.0065
H21042101_0032.abf,H21042101,32,0.0065
H21042101_0033.abf,H21042101,33,0.0007
H21042101_0034.abf,H21042101,34,0.0007
H21042301_0013.abf,H21042301,13,0.697
H21042301_0016.abf,H21042301,16,0.167
H21042301_0017.abf,H21042301,17,0.076
H21042301_0018.abf,H21042301,18,0.0296
H21042301_0019.abf,H21042301,19,0.167
H21042301_0020.abf,H21042301,20,0.014
H21042301_0021.abf,H21042301,21,0.0598
H21042301_0022.abf,H21042301,22,0.0598
H21042301_0023.abf,H21042301,23,0.076
H21042301_0024.abf,H21042301,24,0.014
H21042303_0015.abf,H21042303,15,0.346
H21042303_0016.abf,H21042303,16,0.0762
H21042303_0017.abf,H21042303,17,0.0762
H21042303_0018.abf,H21042303,18,0.0084
H21042304_0010.abf,H21042304,10,0.346
H21042304_0011.abf,H21042304,11,0.0762
H21042304_0012.abf,H21042304,12,0.0084
H21042304_0013.abf,H21042304,13,0.0065
H21050601_0021.abf,H21050601,21,0.008
H21050601_0022.abf,H21050601,22,0.0143
H21050601_0023.abf,H21050601,23,0.0065
H21050601_0024.abf,H21050601,24,0.0007
H21050602_0002.abf,H21050602,2,0.0065
H21050602_0003.abf,H21050602,3,0.0296
H21050602_0004.abf,H21050602,4,0.076
H21050603_0010.abf,H21050603,10,0.0762
H21050603_0011.abf,H21050603,11,0.008
H21050701_0004.abf,H21050701,4,0.167
H21050701_0005.abf,H21050701,5,0.0762
H21050701_0006.abf,H21050701,6,0.0143
H21050701_0007.abf,H21050701,7,0.0065
H21051201_0017.abf,H21051201,17,0.076
H21051201_0018.abf,H21051201,18,0.107
H21051201_0020.abf,H21051201,20,0.346
H21051202_0009.abf,H21051202,9,0.076
H21051202_0010.abf,H21051202,10,0.107
H21051202_0011.abf,H21051202,11,0.346
H21051302_0003.abf,H21051302,3,1.24
H21051302_0004.abf,H21051302,4,0.167
H21051302_0005.abf,H21051302,5,0.008
H21051302_0006.abf,H21051302,6,0.0296
H21051302_0007.abf,H21051302,7,0.076
H21051302_0008.abf,H21051302,8,0.107
H21051302_0009.abf,H21051302,9,0.697
H21051302_0011.abf,H21051302,11,0.167
H21051302_0012.abf,H21051302,12,0.346
H21052104_0005.abf,H21052104,5,0.076
H21052104_0006.abf,H21052104,6,0.11
H21052104_0007.abf,H21052104,7,0.346
H21052104_0008.abf,H21052104,8,0.03
H21052104_0009.abf,H21052104,9,0.076
H21052104_0013.abf,H21052104,13,0.11
H21052104_0014.abf,H21052104,14,0.167
H21052104_0015.abf,H21052104,15,0.082
H21052502_0008.abf,H21052502,8,0.076
